[15:50:35] #1 | Session #1 | Motor ?? | ?? | 0208410001014852000103DE00
[15:50:38] #2 | Session #2 | Motor ?? | ?? | 0208410001014851000103DD00
[15:50:42] #3 | Session #3 | Motor ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[15:50:51] #4 | Session #4 | Motor ?? | ?? | 02084100010148010001038D00
[15:50:54] #5 | Session #5 | Motor ?? | ?? | 02084100010148020001038E00
[15:50:56] #6 | Session #6 | Motor ?? | ?? | 021641000104690D003075690E0030754803000048040000031403
[15:51:00] #7 | Session #7 | Motor ?? | ?? | 02084100010148110001039D00
[15:51:04] #8 | Session #8 | Motor ?? | ?? | 02084100010148120001039E00
[15:51:07] #9 | Session #9 | Motor ?? | ?? | 021641000104691D003075691E0030754813000048140000035403
[15:51:15] #10 | Session #10 | Motor ?? | ?? | 0208410001014821000103AD00
[15:51:18] #11 | Session #11 | Motor ?? | ?? | 0208410001014822000103AE00
[15:51:22] #12 | Session #12 | Motor ?? | ?? | 021641000104692D003075692E0030754823000048240000039403
[15:51:27] #13 | Session #13 | Motor ?? | ?? | 0208410001014831000103BD00
[15:51:31] #14 | Session #14 | Motor ?? | ?? | 0208410001014832000103BE00
[15:51:33] #15 | Session #15 | Motor ?? | ?? | 021641000104693D003075693E003075483300004834000003D403
[15:51:37] #16 | Session #16 | Motor ?? | ?? | 0208410001014841000103CD00
[15:51:40] #17 | Session #17 | Motor ?? | ?? | 0208410001014842000103CE00
[15:51:42] #18 | Session #18 | Motor ?? | ?? | 021641000104694D003075694E0030754843000048440000031404
[15:57:53] #19 | Session #19 | Motor ?? | ?? | 021641000104694D003075694E0030754843000048440000031404
[15:58:06] #20 | Session #20 | Motor ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[16:02:45] #21 | Session #21 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[16:03:51] #22 | Session #22 | Motor ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[16:03:58] #23 | Session #23 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[16:04:12] #24 | Session #24 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[16:04:20] #25 | Session #25 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[16:04:35] #26 | Session #26 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[16:04:50] #27 | Session #27 | Motor ?? | ?? | 021641000104695D003075695E0030754853000048540000035404
[16:08:43] #28 | Session #28 | Motor 5.375 | ?? | 021C4100010648510001480100014811000148210001483100014841000103F402
[16:09:00] #29 | Session #29 | Motor 5.375 | ?? | 021C4100010648520001480200014812000148220001483200014842000103FA02
[16:09:03] #30 | Session #30 | Motor ?? | ?? | 027041000118695D003075695E0030754853000048540000690D003075690E0030754803000048040000691D003075691E0030754813000048140000692D003075692E0030754823000048240000693D003075693E0030754833000048340000694D003075694E003075484300004844000003EE14
[16:18:37] #31 | Session #31 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[16:20:45] #32 | Session #32 | Motor ?? | ?? | 02134100000569510069520069530069540069550003F203
[16:26:37] #33 | Session #33 | Motor ?? | ?? | 02134100000569510069520069530069540069550003F203
[16:27:36] #34 | Session #34 | Motor ?? | ?? | 021341000005692100692200692300692400692500030203
[17:09:53] #35 | Session #35 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[17:10:12] #36 | Session #36 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[17:10:21] #37 | Session #37 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
[17:10:30] #38 | Session #38 | Motor 5.375 | STOP | 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A
