[15:29:26] Cmd #1: 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A  → Adresse: [Low=0x00, High=0x48]  Befehl: STOP
[15:29:29] Cmd #2: 0208410001014852000103DE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x52
[15:29:33] Cmd #3: 021641000104695D003075695E0030754853000048540000035404  → Adresse: [Low=0x00, High=0x30]  Befehl: 0x5d
[15:31:35] Cmd #4: 0208410001014852000103DE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x52
[15:31:57] Cmd #5: 021641000104695D003075695E0030754853000048540000035404  → Adresse: [Low=0x00, High=0x30]  Befehl: 0x5d
[15:32:36] Cmd #6: 02084100010148020001038E00  → Adresse: [Low=0x00, High=0x01]  Befehl: RUNTER
[15:32:37] Cmd #7: 02084100010148020001038E00  → Adresse: [Low=0x00, High=0x01]  Befehl: RUNTER
[15:32:40] Cmd #8: 021641000104690D003075690E0030754803000048040000031403  → Adresse: [Low=0x00, High=0x30]  Befehl: 0xd
[15:34:15] Cmd #9: 02074100000169460003F100  → Adresse: [Low=0x00, High=0x03]  Befehl: 0x46
[15:34:15] Cmd #10: 021041000004696100696200696300696400037303  → Adresse: [Low=0x00, High=0x69]  Befehl: 0x61
[15:34:16] Cmd #11: 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A  → Adresse: [Low=0x00, High=0x48]  Befehl: STOP
[15:34:25] Cmd #12: 02434100001548030048040048130048140048230048240048330048340048430048440048530048540069060069160069260069360069460069560048100048200048300003820A  → Adresse: [Low=0x00, High=0x48]  Befehl: STOP
[15:34:37] Cmd #13: 02084100010148020001038E00  → Adresse: [Low=0x00, High=0x01]  Befehl: RUNTER
[15:34:47] Cmd #14: 02084100010148120001039E00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x12
[15:34:54] Cmd #15: 0208410001014822000103AE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x22
[15:35:02] Cmd #16: 0208410001014832000103BE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x32
[15:35:12] Cmd #17: 0208410001014842000103CE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x42
[15:35:23] Cmd #18: 0208410001014852000103DE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x52
[15:38:17] Cmd #1: 02084100010148020001038E00  → Adresse: [Low=0x00, High=0x01]  Befehl: RUNTER
[15:38:28] Cmd #2: 02084100010148120001039E00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x12
[15:38:35] Cmd #3: 0208410001014822000103AE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x22
[15:38:43] Cmd #4: 0208410001014832000103BE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x32
[15:38:59] Cmd #5: 0208410001014842000103CE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x42
[15:39:07] Cmd #6: 0208410001014852000103DE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x52
[15:40:31] Cmd #1: 02084100010148020001038E00  → Adresse: [Low=0x00, High=0x01]  Befehl: RUNTER
[15:40:42] Cmd #2: 02084100010148120001039E00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x12
[15:40:49] Cmd #3: 0208410001014822000103AE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x22
[15:40:55] Cmd #4: 0208410001014832000103BE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x32
[15:41:04] Cmd #5: 0208410001014842000103CE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x42
[15:41:17] Cmd #6: 0208410001014852000103DE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x52
[15:42:14] Cmd #7: 02084100010148020001038E00  → Adresse: [Low=0x00, High=0x01]  Befehl: RUNTER
[15:42:20] Cmd #8: 02084100010148120001039E00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x12
[15:42:26] Cmd #9: 0208410001014822000103AE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x22
[15:42:30] Cmd #10: 0208410001014832000103BE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x32
[15:42:35] Cmd #11: 0208410001014842000103CE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x42
[15:42:40] Cmd #12: 0208410001014852000103DE00  → Adresse: [Low=0x00, High=0x01]  Befehl: 0x52
